"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2023","134.194","134.185","-0,01","133.832","134.392","n/d"
"27/12/2023","133.523","134.194","0,49","133.328","134.195","n/d"
"26/12/2023","132.753","133.533","0,59","132.753","133.645","n/d"
"22/12/2023","132.182","132.753","0,43","132.094","133.035","n/d"
"21/12/2023","130.826","132.182","1,05","130.822","132.277","n/d"
"20/12/2023","131.851","130.804","-0,79","130.710","132.341","n/d"
"19/12/2023","131.088","131.851","0,59","131.086","132.047","n/d"
"18/12/2023","130.202","131.084","0,68","130.198","131.447","n/d"
"15/12/2023","130.842","130.197","-0,49","129.884","131.661","n/d"
"14/12/2023","126.406","130.842","1,06","129.469","131.260","n/d"
"13/12/2023","126.923","129.465","2,42","126.299","129.793","n/d"
"12/12/2023","126.923","126.403","-0,40","126.013","127.359","n/d"
"11/12/2023","127.093","126.916","-0,14","126.526","127.154","n/d"
"08/12/2023","126.010","127.094","0,86","125.562","127.289","n/d"
"07/12/2023","125.623","126.010","0,31","125.566","126.581","n/d"
"06/12/2023","126.907","125.623","-1,01","125.614","127.538","n/d"
"05/12/2023","126.802","126.903","0,08","126.491","127.489","n/d"
"04/12/2023","128.183","126.803","-1,08","126.643","128.183","n/d"
"01/12/2023","127.331","128.185","0,67","126.656","128.185","n/d"
"30/11/2023","126.168","127.331","0,92","126.168","127.399","n/d"
"29/11/2023","126.541","126.166","-0,29","126.018","127.388","n/d"
"28/11/2023","125.726","126.538","0,64","125.388","126.916","n/d"
"27/11/2023","125.517","125.731","0,17","124.840","125.826","n/d"
"24/11/2023","126.553","125.517","-0,84","125.341","126.553","n/d"
"23/11/2023","126.035","126.576","0,43","125.764","126.760","n/d"
"22/11/2023","125.626","126.035","0,33","125.439","126.875","n/d"
"21/11/2023","125.957","125.626","-0,26","125.060","125.957","n/d"
"20/11/2023","124.773","125.957","0,95","124.773","126.162","n/d"
"17/11/2023","124.639","124.773","0,11","124.547","125.431","n/d"
"16/11/2023","123.165","124.639","1,20","123.165","124.737","n/d"
"14/11/2023","120.411","123.166","2,29","120.411","123.370","n/d"
"13/11/2023","120.561","120.410","-0,13","119.878","120.606","n/d"
"10/11/2023","119.036","120.568","1,29","119.036","120.823","n/d"
"09/11/2023","119.180","119.034","-0,12","118.446","120.257","n/d"
"08/11/2023","119.268","119.177","-0,08","118.464","119.976","n/d"
"07/11/2023","118.422","119.268","0,71","118.026","119.577","n/d"
"06/11/2023","118.160","118.431","0,23","118.045","118.758","n/d"
"03/11/2023","115.062","118.160","2,70","115.062","118.502","n/d"
"01/11/2023","113.157","115.053","1,69","113.157","115.433","n/d"
"31/10/2023","112.534","113.144","0,54","112.098","113.597","n/d"
"30/10/2023","113.303","112.532","-0,68","112.309","114.204","n/d"
"27/10/2023","114.777","113.301","-1,29","112.953","115.342","n/d"
"26/10/2023","112.840","114.777","1,73","112.840","114.886","n/d"
"25/10/2023","113.762","112.830","-0,82","112.680","114.319","n/d"
"24/10/2023","112.814","113.762","0,87","112.814","114.249","n/d"
"23/10/2023","113.145","112.785","-0,33","112.164","113.680","n/d"
"20/10/2023","113.996","113.155","-0,74","112.533","114.090","n/d"
"19/10/2023","114.059","114.004","-0,05","113.768","115.063","n/d"
"18/10/2023","115.907","114.060","-1,60","113.952","115.907","n/d"
"17/10/2023","116.526","115.908","-0,54","115.564","116.917","n/d"
"16/10/2023","115.760","116.534","0,67","115.760","116.905","n/d"
"13/10/2023","117.050","115.754","-1,11","115.658","117.070","n/d"
"11/10/2023","116.737","117.051","0,27","116.231","117.099","n/d"
"10/10/2023","115.158","116.737","1,37","115.158","116.900","n/d"
"09/10/2023","114.169","115.156","0,86","113.448","115.219","n/d"
"06/10/2023","113.283","114.170","0,78","111.599","114.491","n/d"
"05/10/2023","113.609","113.284","-0,28","112.705","114.359","n/d"
"04/10/2023","113.430","113.607","0,17","113.036","114.075","n/d"
"03/10/2023","115.055","113.419","-1,42","113.151","115.056","n/d"
"02/10/2023","116.565","115.057","-1,29","114.761","116.672","n/d"
"29/09/2023","115.742","116.565","0,72","115.742","116.899","n/d"
"28/09/2023","114.327","115.731","1,23","114.180","115.954","n/d"
"27/09/2023","114.194","114.327","0,12","113.366","115.340","n/d"
"26/09/2023","115.922","114.193","-1,49","114.162","115.922","n/d"
"25/09/2023","116.009","115.925","-0,07","115.573","116.031","n/d"
"22/09/2023","116.147","116.009","-0,12","115.855","116.968","n/d"
"21/09/2023","118.695","116.145","-2,15","116.013","118.695","n/d"
"20/09/2023","117.864","118.695","0,72","117.847","119.616","n/d"
"19/09/2023","118.293","117.846","-0,37","117.628","118.458","n/d"
"18/09/2023","118.759","118.288","-0,40","118.123","119.486","n/d"
"15/09/2023","119.393","118.758","-0,53","118.666","119.780","n/d"
"14/09/2023","118.181","119.392","1,03","118.181","119.748","n/d"
"13/09/2023","117.968","118.176","0,18","117.722","119.318","n/d"
"12/09/2023","116.885","117.968","0,93","116.885","118.154","n/d"
"11/09/2023","115.316","116.883","1,36","115.316","117.131","n/d"
"08/09/2023","115.979","115.313","-0,58","114.839","115.979","n/d"
"06/09/2023","117.331","115.985","-1,15","115.984","117.971","n/d"
"05/09/2023","117.776","117.331","-0,38","116.637","117.957","n/d"
"04/09/2023","117.893","117.777","-0,10","117.590","118.576","n/d"
"01/09/2023","115.744","117.893","1,86","115.744","117.991","n/d"
"31/08/2023","117.537","115.742","-1,53","115.742","117.637","n/d"
"30/08/2023","118.404","117.535","-0,73","117.471","118.841","n/d"
"29/08/2023","117.124","118.404","1,10","117.124","118.493","n/d"
"28/08/2023","115.838","117.121","1,11","115.836","117.253","n/d"
"25/08/2023","117.025","115.837","-1,02","115.397","117.252","n/d"
"24/08/2023","118.135","117.026","-0,94","116.848","118.136","n/d"
"23/08/2023","116.160","118.135","1,70","116.159","118.135","n/d"
"22/08/2023","114.433","116.156","1,51","114.433","116.286","n/d"
"21/08/2023","115.404","114.429","-0,85","114.067","115.425","n/d"
"18/08/2023","115.592","115.409","0,37","114.423","115.729","n/d"
"17/08/2023","116.171","114.982","-0,53","114.859","116.610","n/d"
"16/08/2023","116.171","115.592","-0,50","115.534","117.338","n/d"
"15/08/2023","116.809","116.171","-0,55","116.033","117.697","n/d"
"14/08/2023","118.067","116.810","-1,06","116.530","118.082","n/d"
"11/08/2023","118.350","118.065","-0,24","117.415","119.054","n/d"
"10/08/2023","118.412","118.350","-0,05","118.113","119.438","n/d"
"09/08/2023","119.090","118.409","-0,57","117.901","119.090","n/d"
"08/08/2023","119.378","119.090","-0,24","117.492","119.553","n/d"
"07/08/2023","119.509","119.380","-0,11","118.894","120.104","14,65B"
